Question,Answer
"What is your name?","My name is CHANAKYA"
"What is MOSDAC?","MOSDAC is the short form of Meteorological and Oceanographic Satellite Data Archival Center. It is an ISRO data portal which provides data through its web-based service https://mosdac.gov.in"
"How to be a registered user of MOSDAC?","There is a ""SignUp"" form available on MOSDAC portal. Please fill up the form and submit. You will be intimated through e-mail about the approval."
"I have registered on MOSDAC. I have received an email for email verification. But when I click the link, I get error message.","Please copy the Email verification Hyperlink sent on your registered email id and paste it in a new browser window/tab and open the link to verify your email address."
"I have received a 'reset password mail'. But when I click the link, I get error message.","Please copy the 'Reset Password Hyperlink' sent on your registered email id and paste it in a new browser window/tab and open the link to reset password."
"I get error 'Invalid username or password' even though I provide correct credentials.","Your account is locked for one hour after 3 unsuccessful login attempts. Please try after one hour."
"How to know forgot password?","Click Forgot Password link on MOSDAC Login Page. Enter username or email. If valid username/email is entered, user will get an email containing 'Reset Password Hyperlink'. Please copy 'Reset Password Hyperlink' and paste it in new browser window/tab and open the link and follow the procedure to reset password."
"How to change password?","Login with your user name and password. Select 'Change Profile'. Your Profile page will be displayed. Select 'Password' from the left panel of Profile Page. Provide old and new password and click save. Your password will be changed."
"I don't have username and password of MOSDAC. Can I download data?","Anonymous users (without username and password) can download only open data. In order to download all data from MOSDAC, you need to register on MOSDAC site. There is a ""SignUp"" form available on MOSDAC portal. Please fill up the form properly and submit. You will be intimated through e-mail about the approval."
"How can I get near real time data without data ordering?","If you want near real time data, you can place ""standing order"" from MOSDAC for Satellite data product/in-situ. Login to MOSDAC site and place standing order. A standing order can be placed for a maximum one month duration. After that you can again place the request. This functionality is available for privileged user only."
"How in-situ data can be ordered/requested?","You are required to be a registered user for ordering the data. Be a registered user by filling up online form. Login to MOSDAC site. Select either ""In-situ data order"". Select the data of your interest. Place the order. Sign the agreement. A download link will be provided. After clicking here data will be downloaded on your desk through http."
"How Ordered and download the satellite data?","You are required to be a registered user for ordering the data. Be a registered user by filling up Sign Up form available on the home page. Login to MOSDAC site with user credentials. Select ""Satellite data order"". Select the data of your interest. Add to cart. Submit the request. You will be given a request id no. You will be intimated through mail about readiness of your data. You can also check status of your request from left menu under ""My request"" tab. Your requested data will be uploaded to your SFTP account at sftp://ftp.mosdac.gov.in. You can download data from sftp://ftp.mosdac.gov.in using your MOSDAC portal user credentials."
"Which duration data can be obtained from MOSDAC?","To view availability of data select ""Catalog --> Satellite data"" from top menu bar. All data products list of a satellite will be displayed, which contains details of the data products viz: abstract, start date, end date, frequency etc."
"How many AWS are installed in each state of India?","Select ""Catalog --> In-situ --> distribution"" from top menu bar, AWS distribution map and number of AWS installed in each state of India will be displayed."
"Which duration data is available for AWS?","AWS data is available from January 2008 till present date."
"How to get description about a data product?","Select ""Catalog --> Satellite data"" from top menu bar. All data products list of a satellite will be displayed, which contains details of the data products viz: abstract, start date, end date, frequency etc."
"What datasets are available on MOSDAC?","Select ""Catalog --> Satellite data"" from top menu bar. All data products list of a satellite will be displayed. You can change the satellite to view data products of selected satellite. Select ""Catalog --> In-situ --> distribution"" from top menu bar. All In-situ list will be displayed for which MOSDAC has datasets."
"I am a registered user of MOSDAC. When I download L1 data I get the message ""Your account is configured to download this data with latency of 3 days. Please select date accordingly."" How should I download data?","There are two categories of users in MOSDAC, NRT users and General users. NRT users have access to real time data. General users are provided access Level-2 and onwards data in NRT and Level-1 data with a latency of 3 days. This message implies that the data product requested by you can't be downloaded in near real time. You can download 3 days old data or you can contact MOSDAC admin if you want near real time data."
"What is MOSDAC?","MOSDAC stands for Meteorological and Oceanographic Satellite Data Archival Centre. It is an ISRO portal providing satellite and in-situ data services related to meteorology and oceanography."
"Where is the MOSDAC office located?","The MOSDAC office is located at the Space Applications Centre (SAC), Ahmedabad, Gujarat, India."
"How can I register on MOSDAC?","You can register by filling out the SignUp form available on the MOSDAC portal. After submission, approval will be notified via email."
"What types of satellite data are available on MOSDAC?","MOSDAC provides data from meteorological satellites such as INSAT series, Oceansat, SCATSAT, and other oceanographic missions."
"Is registration mandatory to download MOSDAC data?","Anonymous users can download only open data. Full access to all datasets requires registration."
"How do I reset my MOSDAC password?","Click the ""Forgot Password"" link on the login page, enter your registered email, and follow the instructions sent to your inbox."
"What is a standing order in MOSDAC?","A standing order is a subscription service that delivers near real-time satellite or in-situ data for a specified duration, up to one month."
"How can I place a data order on MOSDAC?","After logging in, select the desired data product and add it to the cart. Submit the order request, and you will receive a request ID and status updates via email."
"What file formats are available for MOSDAC data?","Data is typically provided in standard formats like NetCDF, HDF, ASCII, and sometimes CSV or TIFF depending on the product."
"How often is MOSDAC data updated?","Data updates depend on satellite passes and product type. Near real-time data is available for privileged users; general users get data with some latency."
"What is the difference between privileged and general users?","Privileged users have access to near real-time data and advanced services; general users access Level-2 data with typical latency."
"How do I verify my email after registration?","You receive an email with a verification link. Copy and paste this link in your browser to complete email verification."
"Can I access MOSDAC data through APIs?","Currently, MOSDAC provides web-based data services; API access is limited or under development."
"What are In-situ data products on MOSDAC?","In-situ data includes measurements from weather stations, ocean buoys, and other ground or sea-based sensors."
"How many Automatic Weather Stations (AWS) are covered by MOSDAC?","MOSDAC archives data from several AWS across India, with distribution maps available on the portal."
"What is the latency of Level-1 data on MOSDAC?","Level-1 data typically has a latency of about 3 days for general users."
"Can I download data without placing an order?","Open data can be downloaded without orders; however, many datasets require placing an order and registration."
"What is the process to change my MOSDAC profile password?","Log in, navigate to 'Change Profile', select 'Password', enter old and new passwords, and save changes."
"What are the satellite missions supported by MOSDAC?","MOSDAC supports missions such as INSAT-3D, INSAT-3DR, Oceansat-2, SCATSAT-1, and others."
"Is there a fee for accessing MOSDAC data?","Most data on MOSDAC is freely accessible to registered users; some specific services may have restrictions."
"How do I track my data request status?","Log in and check the 'My Request' tab to view status updates for your data orders."
"What is the SFTP service in MOSDAC?","Data ordered is uploaded to a secure FTP server (SFTP), accessible with your MOSDAC credentials."
"Can I download bulk data from MOSDAC?","Yes, bulk downloads are supported via standing orders or batch requests through the portal."
"What is the data catalog in MOSDAC?","The data catalog lists all available satellite and in-situ data products with metadata like abstract, frequency, and date ranges."
"How do I get help if I face issues on MOSDAC?","Use the contact/support section on the MOSDAC portal or email the support team for assistance."
"Can I use MOSDAC data for commercial purposes?","Data usage policies vary; please consult ISRO/MOSDAC licensing terms before commercial use."
"What is the difference between satellite and in-situ data?","Satellite data is remotely sensed from orbit, while in-situ data is collected on the ground or ocean."
"How is MOSDAC data quality ensured?","Data goes through calibration, validation, and quality checks before being released."
"How can I download data products of a specific satellite?","Use the 'Catalog --> Satellite data' menu to select a satellite and view/download its products."
"What are the metadata tags available in MOSDAC data?","Metadata includes details like acquisition time, sensor type, geographic coverage, and data quality indicators."
"Can I subscribe to notifications about new data releases?","Yes, users can subscribe to alerts and notifications through their MOSDAC account settings."
"What tools are recommended for processing MOSDAC data?","Tools like Python, MATLAB, and GIS software (QGIS, ArcGIS) are commonly used."
"How large are MOSDAC datasets typically?","Dataset size varies widely, from a few MBs for simple products to several GBs for comprehensive archives."
"What is the primary use of MOSDAC data?","MOSDAC data supports weather forecasting, climate research, ocean studies, and disaster management."
"Can I integrate MOSDAC data into my applications?","Yes, data can be integrated via downloads and processing; API support may be limited."
"How to order in-situ data on MOSDAC?","Registered users can order in-situ data by selecting the 'In-situ data order' option and submitting a request."
"Are historical data archives available on MOSDAC?","Yes, MOSDAC archives data dating back several years depending on the satellite and sensor."
"What is the minimum system requirement to use MOSDAC services?","A modern web browser and internet connection are required; data processing requires sufficient storage and computing power."
"How to report errors or discrepancies in MOSDAC data?","Contact support via the portal or email with details of the issue."
"Can MOSDAC data be used for academic research?","Yes, MOSDAC data is widely used in academic and research institutions."
"How do I get training on using MOSDAC data?","ISRO periodically conducts workshops and training sessions; announcements are posted on the MOSDAC site."
"Are there any user manuals for MOSDAC?","User manuals and documentation are available for download on the portal."
"What is the frequency of data update for AWS?","AWS data is updated daily, with archives from January 2008 to present."
"Can I download data for specific geographic regions?","Yes, many products allow geographic subsetting during data ordering."
"Is there a mobile app for MOSDAC?","Currently, there is no official mobile app; the portal is accessible via mobile browsers."
"How do I cancel a data order?","Contact MOSDAC support as soon as possible to request cancellation."
"What security measures protect my MOSDAC account?","MOSDAC uses secure login protocols, password policies, and encrypted data transfers."
"Can I download sample data before registering?","Some sample/open datasets are available without registration."
"What is the supported browser list for MOSDAC?","MOSDAC supports modern browsers like Chrome, Firefox, Edge, and Safari."
"How do I know the validity of my MOSDAC account?","Accounts remain valid unless deactivated; check your profile status on login."
"Can I reset my password multiple times?","Yes, password resets can be requested multiple times as needed."
"What are the data download limits?","Limits depend on user category; privileged users have higher bandwidth and quota."
"How do I update my contact details in MOSDAC?","Update profile settings after login to change contact info."
"What file compression formats are used?","Data is often compressed using ZIP or TAR formats for efficient transfer."
"What is the data access policy of MOSDAC?","MOSDAC data is governed by ISRO’s data sharing and usage policies."
"How do I provide feedback on MOSDAC services?","Feedback forms and contact emails are available on the portal."
"Can I share my MOSDAC account credentials?","No, account sharing is prohibited per MOSDAC terms of use."
"What is the procedure for account deactivation?","Request account deactivation through support with valid reasons."
"How do I access near real-time data?","Place standing orders or be a privileged user for near real-time data access."
"What geographic areas does MOSDAC cover?","MOSDAC covers the Indian region and surrounding oceanic areas."
"Are there tutorials for MOSDAC data visualization?","Yes, tutorials and example scripts are available on the MOSDAC website."
"What is the data retention period?","Data retention depends on the satellite mission but generally covers several years."
"How can I participate in MOSDAC user forums?","Check the MOSDAC portal for community or forum links."
"Can I get alerts for satellite data anomalies?","Subscribe to notifications or contact support for alert services."
"Is user support available 24/7?","Support hours are typically during working days; check portal for timings."
"What is the typical response time for support queries?","Responses generally occur within 1-3 business days."
"Can I request custom data processing?","Custom services may be available upon request; contact MOSDAC support."
"What programming languages are best for MOSDAC data?","Python and MATLAB are popular for data analysis and visualization."
"How to cite MOSDAC data in research?","Use citation formats provided in the data documentation or on the MOSDAC site."
"Are there restrictions on data redistribution?","Redistribution is subject to ISRO/MOSDAC licensing terms."
"What is the backup policy for MOSDAC data?","Data backups are maintained to ensure availability and integrity."
"How do I troubleshoot login issues?","Ensure correct credentials, check email verification, and clear browser cache."
"Can I download data using FTP clients?","Yes, MOSDAC supports data download via SFTP using user credentials."
"What are the supported data access protocols?","HTTP, HTTPS, and SFTP are supported for data transfer."
"How is data quality flagged in MOSDAC?","Quality flags and metadata describe data validity and processing level."
"What training materials are available for MOSDAC users?","User guides, FAQs, and video tutorials are provided."
"Can I automate data downloads?","Automation is possible via scripts using SFTP or HTTP downloads."
"What are the future plans for MOSDAC?","Enhancements include API support, mobile apps, and expanded datasets."
"Is there a newsletter for MOSDAC updates?","Yes, subscribe via the MOSDAC portal to receive newsletters."
"How do I change my registered email address?","Contact support to update email information."
"What is the MOSDAC helpdesk contact?","Contact details are listed on the portal’s support page."
"Can I download data for research projects?","Yes, data is available for legitimate research purposes."
